"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.05,0.05,53,53,3
0.05,0.1,52.95,53,3
0.05,0.15,52.88,53,3
0.05,0.2,52.86,53,3
0.05,0.25,52.76,53,3
0.05,0.3,52.78,53,3
0.05,0.35,52.71,53,3
0.05,0.4,52.67,53,3
0.05,0.45,52.58,53,3
0.05,0.5,52.54,53,3
0.05,0.55,52.5,53,3
0.05,0.6,52.47,52,2
0.05,0.65,52.4,52,2
0.05,0.7,52.34,52,2
0.05,0.75,52.29,52,2
0.05,0.8,52.24,52,2
0.05,0.85,52.2,52,2
0.05,0.9,52.15,52,2
0.05,0.95,52.09,52,2
0.1,0.05,53.06,53,3
0.1,0.1,52.97,53,3
0.1,0.15,52.95,53,3
0.1,0.2,52.91,53,3
0.1,0.25,52.84,53,3
0.1,0.3,52.78,53,3
0.1,0.35,52.76,53,3
0.1,0.4,52.7,53,3
0.1,0.45,52.65,53,3
0.1,0.5,52.58,53,3
0.1,0.55,52.55,53,3
0.1,0.6,52.5,52,2
0.1,0.65,52.44,52,2
0.1,0.7,52.43,52,2
0.1,0.75,52.37,52,2
0.1,0.8,52.28,52,2
0.1,0.85,52.26,52,2
0.1,0.9,52.2,52,2
0.1,0.95,52.15,52,2
0.15,0.05,53.08,53,3
0.15,0.1,53.04,53,3
0.15,0.15,52.99,53,3
0.15,0.2,52.95,53,3
0.15,0.25,52.9,53,3
0.15,0.3,52.86,53,3
0.15,0.35,52.75,53,3
0.15,0.4,52.75,53,3
0.15,0.45,52.7,53,3
0.15,0.5,52.63,53,3
0.15,0.55,52.59,53,3
0.15,0.6,52.53,53,3
0.15,0.65,52.53,53,3
0.15,0.7,52.46,52,2
0.15,0.75,52.41,52,2
0.15,0.8,52.34,52,2
0.15,0.85,52.31,52,2
0.15,0.9,52.24,52,2
0.15,0.95,52.21,52,2
0.2,0.05,53.15,53,3
0.2,0.1,53.12,53,3
0.2,0.15,53.05,53,3
0.2,0.2,52.99,53,3
0.2,0.25,52.94,53,3
0.2,0.3,52.93,53,3
0.2,0.35,52.81,53,3
0.2,0.4,52.77,53,3
0.2,0.45,52.74,53,3
0.2,0.5,52.66,53,3
0.2,0.55,52.68,53,3
0.2,0.6,52.62,53,3
0.2,0.65,52.56,53,3
0.2,0.7,52.52,53,3
0.2,0.75,52.42,52,2
0.2,0.8,52.4,52,2
0.2,0.85,52.35,52,2
0.2,0.9,52.31,52,2
0.2,0.95,52.25,52,2
0.25,0.05,53.22,53,3
0.25,0.1,53.15,53,3
0.25,0.15,53.08,53,3
0.25,0.2,53.08,53,3
0.25,0.25,52.98,53,3
0.25,0.3,52.97,53,3
0.25,0.35,52.94,53,3
0.25,0.4,52.85,53,3
0.25,0.45,52.77,53,3
0.25,0.5,52.74,53,3
0.25,0.55,52.7,53,3
0.25,0.6,52.67,53,3
0.25,0.65,52.57,53,3
0.25,0.7,52.52,53,3
0.25,0.75,52.51,53,3
0.25,0.8,52.45,52,2
0.25,0.85,52.42,52,2
0.25,0.9,52.35,52,2
0.25,0.95,52.26,52,2
0.3,0.05,53.24,53,3
0.3,0.1,53.2,53,3
0.3,0.15,53.16,53,3
0.3,0.2,53.11,53,3
0.3,0.25,53.08,53,3
0.3,0.3,53,53,3
0.3,0.35,52.96,53,3
0.3,0.4,52.95,53,3
0.3,0.45,52.89,53,3
0.3,0.5,52.76,53,3
0.3,0.55,52.73,53,3
0.3,0.6,52.68,53,3
0.3,0.65,52.63,53,3
0.3,0.7,52.58,53,3
0.3,0.75,52.57,53,3
0.3,0.8,52.46,52,2
0.3,0.85,52.46,52,2
0.3,0.9,52.4,52,2
0.3,0.95,52.35,52,2
0.35,0.05,53.33,53,3
0.35,0.1,53.23,53,3
0.35,0.15,53.17,53,3
0.35,0.2,53.14,53,3
0.35,0.25,53.12,53,3
0.35,0.3,53.05,53,3
0.35,0.35,52.98,53,3
0.35,0.4,52.98,53,3
0.35,0.45,52.88,53,3
0.35,0.5,52.9,53,3
0.35,0.55,52.78,53,3
0.35,0.6,52.73,53,3
0.35,0.65,52.73,53,3
0.35,0.7,52.62,53,3
0.35,0.75,52.6,53,3
0.35,0.8,52.54,53,3
0.35,0.85,52.51,53,3
0.35,0.9,52.41,52,2
0.35,0.95,52.4,52,2
0.4,0.05,53.36,53,3
0.4,0.1,53.27,53,3
0.4,0.15,53.27,53,3
0.4,0.2,53.21,53,3
0.4,0.25,53.13,53,3
0.4,0.3,53.12,53,3
0.4,0.35,53.02,53,3
0.4,0.4,53,53,3
0.4,0.45,52.93,53,3
0.4,0.5,52.9,53,3
0.4,0.55,52.85,53,3
0.4,0.6,52.83,53,3
0.4,0.65,52.76,53,3
0.4,0.7,52.71,53,3
0.4,0.75,52.67,53,3
0.4,0.8,52.59,53,3
0.4,0.85,52.56,53,3
0.4,0.9,52.5,53,3
0.4,0.95,52.47,52,2
0.45,0.05,53.4,53,3
0.45,0.1,53.35,53,3
0.45,0.15,53.33,53,3
0.45,0.2,53.25,53,3
0.45,0.25,53.18,53,3
0.45,0.3,53.14,53,3
0.45,0.35,53.09,53,3
0.45,0.4,53.08,53,3
0.45,0.45,52.97,53,3
0.45,0.5,52.97,53,3
0.45,0.55,52.92,53,3
0.45,0.6,52.84,53,3
0.45,0.65,52.79,53,3
0.45,0.7,52.76,53,3
0.45,0.75,52.67,53,3
0.45,0.8,52.63,53,3
0.45,0.85,52.6,53,3
0.45,0.9,52.55,53,3
0.45,0.95,52.5,53,3
0.5,0.05,53.43,53,3
0.5,0.1,53.39,53,3
0.5,0.15,53.36,53,3
0.5,0.2,53.33,53,3
0.5,0.25,53.26,53,3
0.5,0.3,53.19,53,3
0.5,0.35,53.16,53,3
0.5,0.4,53.07,53,3
0.5,0.45,53.05,53,3
0.5,0.5,53,53,3
0.5,0.55,52.94,53,3
0.5,0.6,52.91,53,3
0.5,0.65,52.84,53,3
0.5,0.7,52.8,53,3
0.5,0.75,52.77,53,3
0.5,0.8,52.68,53,3
0.5,0.85,52.66,53,3
0.5,0.9,52.58,53,3
0.5,0.95,52.57,53,3
0.55,0.05,53.5,53,3
0.55,0.1,53.46,53,3
0.55,0.15,53.37,53,3
0.55,0.2,53.36,53,3
0.55,0.25,53.3,53,3
0.55,0.3,53.21,53,3
0.55,0.35,53.19,53,3
0.55,0.4,53.14,53,3
0.55,0.45,53.1,53,3
0.55,0.5,53.06,53,3
0.55,0.55,52.99,53,3
0.55,0.6,52.92,53,3
0.55,0.65,52.88,53,3
0.55,0.7,52.82,53,3
0.55,0.75,52.8,53,3
0.55,0.8,52.74,53,3
0.55,0.85,52.69,53,3
0.55,0.9,52.63,53,3
0.55,0.95,52.61,53,3
0.6,0.05,53.55,54,4
0.6,0.1,53.49,53,3
0.6,0.15,53.44,53,3
0.6,0.2,53.41,53,3
0.6,0.25,53.36,53,3
0.6,0.3,53.27,53,3
0.6,0.35,53.22,53,3
