"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.05,0.05,53.27,53,3
0.05,0.1,53.14,53,3
0.05,0.15,53.07,53,3
0.05,0.2,52.97,53,3
0.05,0.25,52.86,53,3
0.05,0.3,52.74,53,3
0.05,0.35,52.68,53,3
0.05,0.4,52.52,53,3
0.05,0.45,52.49,52,2
0.05,0.5,52.34,52,2
0.05,0.55,52.25,52,2
0.05,0.6,52.11,52,2
0.05,0.65,52.07,52,2
0.05,0.7,51.93,52,2
0.05,0.75,51.81,52,2
0.05,0.8,51.66,52,2
0.05,0.85,51.66,52,2
0.05,0.9,51.56,52,2
0.05,0.95,51.46,51,1
0.1,0.05,53.57,54,4
0.1,0.1,53.52,54,4
0.1,0.15,53.41,53,3
0.1,0.2,53.35,53,3
0.1,0.25,53.19,53,3
0.1,0.3,53.1,53,3
0.1,0.35,53.04,53,3
0.1,0.4,52.96,53,3
0.1,0.45,52.8,53,3
0.1,0.5,52.69,53,3
0.1,0.55,52.63,53,3
0.1,0.6,52.54,53,3
0.1,0.65,52.41,52,2
0.1,0.7,52.32,52,2
0.1,0.75,52.19,52,2
0.1,0.8,52.09,52,2
0.1,0.85,52.03,52,2
0.1,0.9,51.91,52,2
0.1,0.95,51.79,52,2
0.15,0.05,53.95,54,4
0.15,0.1,53.8,54,4
0.15,0.15,53.73,54,4
0.15,0.2,53.62,54,4
0.15,0.25,53.55,54,4
0.15,0.3,53.46,53,3
0.15,0.35,53.33,53,3
0.15,0.4,53.29,53,3
0.15,0.45,53.16,53,3
0.15,0.5,53.08,53,3
0.15,0.55,52.98,53,3
0.15,0.6,52.81,53,3
0.15,0.65,52.81,53,3
0.15,0.7,52.57,53,3
0.15,0.75,52.52,53,3
0.15,0.8,52.43,52,2
0.15,0.85,52.39,52,2
0.15,0.9,52.23,52,2
0.15,0.95,52.11,52,2
0.2,0.05,54.27,54,4
0.2,0.1,54.2,54,4
0.2,0.15,54.12,54,4
0.2,0.2,54.01,54,4
0.2,0.25,53.91,54,4
0.2,0.3,53.86,54,4
0.2,0.35,53.71,54,4
0.2,0.4,53.58,54,4
0.2,0.45,53.52,54,4
0.2,0.5,53.49,53,3
0.2,0.55,53.26,53,3
0.2,0.6,53.24,53,3
0.2,0.65,53.13,53,3
0.2,0.7,53,53,3
0.2,0.75,52.93,53,3
0.2,0.8,52.77,53,3
0.2,0.85,52.68,53,3
0.2,0.9,52.62,53,3
0.2,0.95,52.46,52,2
0.25,0.05,54.66,55,5
0.25,0.1,54.6,55,5
0.25,0.15,54.47,54,4
0.25,0.2,54.37,54,4
0.25,0.25,54.27,54,4
0.25,0.3,54.16,54,4
0.25,0.35,54.03,54,4
0.25,0.4,53.8,54,4
0.25,0.45,53.9,54,4
0.25,0.5,53.71,54,4
0.25,0.55,53.6,54,4
0.25,0.6,53.5,54,4
0.25,0.65,53.44,53,3
0.25,0.7,53.42,53,3
0.25,0.75,53.26,53,3
0.25,0.8,53.13,53,3
0.25,0.85,53.11,53,3
