"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.05,0.05,52.97,53,3
0.05,0.1,52.37,52,2
0.05,0.15,51.79,52,2
0.05,0.2,51.22,51,1
0.05,0.25,50.67,51,1
0.05,0.3,49.84,50,0
0.05,0.35,49.36,49,-1
0.05,0.4,48.77,49,-1
0.05,0.45,48.12,48,-2
0.05,0.5,47.46,47,-3
0.05,0.55,47.03,47,-3
0.05,0.6,46.32,46,-4
0.05,0.65,45.69,46,-4
0.05,0.7,45.11,45,-5
0.05,0.75,44.53,45,-5
0.05,0.8,43.87,44,-6
0.05,0.85,43.27,43,-7
0.05,0.9,42.75,43,-7
0.05,0.95,42.13,42,-8
0.1,0.05,53.49,53,3
0.1,0.1,52.91,53,3
0.1,0.15,52.33,52,2
0.1,0.2,51.71,52,2
0.1,0.25,51.12,51,1
0.1,0.3,50.48,50,0
0.1,0.35,49.93,50,0
0.1,0.4,49.26,49,-1
0.1,0.45,48.6,49,-1
0.1,0.5,48.09,48,-2
0.1,0.55,47.47,47,-3
0.1,0.6,46.99,47,-3
0.1,0.65,46.41,46,-4
0.1,0.7,45.7,46,-4
0.1,0.75,45.02,45,-5
0.1,0.8,44.48,44,-6
0.1,0.85,43.91,44,-6
0.1,0.9,43.29,43,-7
0.1,0.95,42.73,43,-7
0.15,0.05,54.05,54,4
0.15,0.1,53.45,53,3
0.15,0.15,52.96,53,3
0.15,0.2,52.27,52,2
0.15,0.25,51.63,52,2
0.15,0.3,51.08,51,1
0.15,0.35,50.54,51,1
0.15,0.4,49.9,50,0
0.15,0.45,49.27,49,-1
0.15,0.5,48.75,49,-1
0.15,0.55,48.05,48,-2
0.15,0.6,47.41,47,-3
0.15,0.65,46.93,47,-3
0.15,0.7,46.27,46,-4
0.15,0.75,45.64,46,-4
0.15,0.8,44.94,45,-5
0.15,0.85,44.44,44,-6
0.15,0.9,43.77,44,-6
0.15,0.95,43.25,43,-7
0.2,0.05,54.62,55,5
0.2,0.1,54.05,54,4
0.2,0.15,53.3,53,3
0.2,0.2,52.78,53,3
0.2,0.25,52.29,52,2
0.2,0.3,51.71,52,2
0.2,0.35,50.97,51,1
0.2,0.4,50.3,50,0
0.2,0.45,49.83,50,0
0.2,0.5,49.21,49,-1
0.2,0.55,48.65,49,-1
0.2,0.6,47.96,48,-2
0.2,0.65,47.42,47,-3
0.2,0.7,46.87,47,-3
0.2,0.75,46.14,46,-4
0.2,0.8,45.69,46,-4
0.2,0.85,45.01,45,-5
