"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.05,0.05,53.1,53,3
0.05,0.1,52.89,53,3
0.05,0.15,52.58,53,3
0.05,0.2,52.21,52,2
0.05,0.25,51.96,52,2
0.05,0.3,51.65,52,2
0.05,0.35,51.4,51,1
0.05,0.4,51.04,51,1
0.05,0.45,50.73,51,1
0.05,0.5,50.36,50,0
0.05,0.55,50.14,50,0
0.05,0.6,49.84,50,0
0.05,0.65,49.58,50,0
0.05,0.7,49.24,49,-1
0.05,0.75,48.95,49,-1
0.05,0.8,48.62,49,-1
0.05,0.85,48.28,48,-2
0.05,0.9,48.06,48,-2
0.05,0.95,47.73,48,-2
0.1,0.05,53.6,54,4
0.1,0.1,53.32,53,3
0.1,0.15,53.03,53,3
0.1,0.2,52.67,53,3
0.1,0.25,52.34,52,2
0.1,0.3,52.2,52,2
0.1,0.35,51.78,52,2
0.1,0.4,51.48,51,1
0.1,0.45,51.19,51,1
0.1,0.5,50.92,51,1
0.1,0.55,50.58,51,1
0.1,0.6,50.36,50,0
0.1,0.65,50.02,50,0
0.1,0.7,49.75,50,0
0.1,0.75,49.38,49,-1
0.1,0.8,49.15,49,-1
0.1,0.85,48.73,49,-1
0.1,0.9,48.48,48,-2
0.1,0.95,48.16,48,-2
0.15,0.05,54,54,4
0.15,0.1,53.69,54,4
0.15,0.15,53.47,53,3
0.15,0.2,53.17,53,3
0.15,0.25,52.83,53,3
0.15,0.3,52.43,52,2
0.15,0.35,52.29,52,2
0.15,0.4,51.98,52,2
0.15,0.45,51.63,52,2
0.15,0.5,51.27,51,1
0.15,0.55,51.08,51,1
0.15,0.6,50.69,51,1
0.15,0.65,50.41,50,0
0.15,0.7,50.19,50,0
0.15,0.75,49.83,50,0
0.15,0.8,49.52,50,0
0.15,0.85,49.22,49,-1
0.15,0.9,48.95,49,-1
0.15,0.95,48.62,49,-1
0.2,0.05,54.49,54,4
0.2,0.1,54.22,54,4
0.2,0.15,53.87,54,4
0.2,0.2,53.59,54,4
0.2,0.25,53.18,53,3
0.2,0.3,53,53,3
0.2,0.35,52.67,53,3
0.2,0.4,52.44,52,2
0.2,0.45,52.19,52,2
0.2,0.5,51.85,52,2
0.2,0.55,51.46,51,1
0.2,0.6,51.16,51,1
0.2,0.65,50.94,51,1
0.2,0.7,50.68,51,1
0.2,0.75,50.29,50,0
0.2,0.8,50.11,50,0
0.2,0.85,49.7,50,0
0.2,0.9,49.38,49,-1
0.2,0.95,49.07,49,-1
0.25,0.05,54.97,55,5
0.25,0.1,54.65,55,5
0.25,0.15,54.38,54,4
0.25,0.2,54.07,54,4
0.25,0.25,53.69,54,4
0.25,0.3,53.45,53,3
0.25,0.35,53.11,53,3
0.25,0.4,52.78,53,3
0.25,0.45,52.53,53,3
0.25,0.5,52.33,52,2
0.25,0.55,51.98,52,2
0.25,0.6,51.64,52,2
0.25,0.65,51.34,51,1
0.25,0.7,51.05,51,1
0.25,0.75,50.74,51,1
0.25,0.8,50.38,50,0
0.25,0.85,50.18,50,0
0.25,0.9,49.85,50,0
0.25,0.95,49.56,50,0
0.3,0.05,55.4,55,5
0.3,0.1,55.1,55,5
0.3,0.15,54.77,55,5
0.3,0.2,54.5,54,4
0.3,0.25,54.26,54,4
0.3,0.3,53.93,54,4
0.3,0.35,53.64,54,4
0.3,0.4,53.35,53,3
0.3,0.45,52.96,53,3
0.3,0.5,52.65,53,3
0.3,0.55,52.5,52,2
0.3,0.6,52.08,52,2
0.3,0.65,51.8,52,2
0.3,0.7,51.51,52,2
0.3,0.75,51.16,51,1
0.3,0.8,50.9,51,1
0.3,0.85,50.69,51,1
0.3,0.9,50.31,50,0
0.3,0.95,49.96,50,0
0.35,0.05,55.9,56,6
0.35,0.1,55.6,56,6
0.35,0.15,55.29,55,5
0.35,0.2,54.89,55,5
0.35,0.25,54.68,55,5
0.35,0.3,54.4,54,4
0.35,0.35,54.05,54,4
0.35,0.4,53.72,54,4
0.35,0.45,53.48,53,3
0.35,0.5,53.19,53,3
0.35,0.55,52.87,53,3
0.35,0.6,52.44,52,2
0.35,0.65,52.22,52,2
0.35,0.7,51.9,52,2
0.35,0.75,51.59,52,2
0.35,0.8,51.42,51,1
0.35,0.85,51.05,51,1
0.35,0.9,50.74,51,1
0.35,0.95,50.46,50,0
0.4,0.05,56.28,56,6
0.4,0.1,55.97,56,6
0.4,0.15,55.74,56,6
0.4,0.2,55.28,55,5
0.4,0.25,55.11,55,5
0.4,0.3,54.73,55,5
0.4,0.35,54.47,54,4
0.4,0.4,54.09,54,4
0.4,0.45,53.8,54,4
0.4,0.5,53.67,54,4
0.4,0.55,53.21,53,3
0.4,0.6,53.04,53,3
0.4,0.65,52.82,53,3
0.4,0.7,52.41,52,2
0.4,0.75,52.1,52,2
0.4,0.8,51.81,52,2
0.4,0.85,51.53,52,2
0.4,0.9,51.27,51,1
0.4,0.95,50.9,51,1
0.45,0.05,56.7,57,7
0.45,0.1,56.45,56,6
0.45,0.15,56.13,56,6
0.45,0.2,55.87,56,6
0.45,0.25,55.58,56,6
0.45,0.3,55.32,55,5
0.45,0.35,55.02,55,5
0.45,0.4,54.7,55,5
0.45,0.45,54.31,54,4
0.45,0.5,53.96,54,4
0.45,0.55,53.73,54,4
0.45,0.6,53.53,54,4
0.45,0.65,53.09,53,3
0.45,0.7,52.73,53,3
0.45,0.75,52.53,53,3
0.45,0.8,52.17,52,2
0.45,0.85,52,52,2
0.45,0.9,51.7,52,2
0.45,0.95,51.35,51,1
0.5,0.05,57.13,57,7
0.5,0.1,56.94,57,7
0.5,0.15,56.71,57,7
0.5,0.2,56.27,56,6
0.5,0.25,56.04,56,6
0.5,0.3,55.72,56,6
0.5,0.35,55.49,55,5
0.5,0.4,55.11,55,5
0.5,0.45,54.76,55,5
0.5,0.5,54.38,54,4
0.5,0.55,54.14,54,4
0.5,0.6,53.9,54,4
0.5,0.65,53.57,54,4
0.5,0.7,53.26,53,3
0.5,0.75,53.08,53,3
0.5,0.8,52.7,53,3
0.5,0.85,52.39,52,2
0.5,0.9,52.11,52,2
0.5,0.95,51.84,52,2
0.55,0.05,57.66,58,8
0.55,0.1,57.3,57,7
0.55,0.15,57.16,57,7
0.55,0.2,56.76,57,7
0.55,0.25,56.39,56,6
0.55,0.3,56.16,56,6
0.55,0.35,55.86,56,6
0.55,0.4,55.5,55,5
0.55,0.45,55.28,55,5
0.55,0.5,54.94,55,5
0.55,0.55,54.71,55,5
0.55,0.6,54.3,54,4
0.55,0.65,54.15,54,4
0.55,0.7,53.65,54,4
0.55,0.75,53.54,54,4
0.55,0.8,53.19,53,3
0.55,0.85,52.9,53,3
0.55,0.9,52.52,53,3
0.55,0.95,52.33,52,2
0.6,0.05,58.13,58,8
0.6,0.1,57.78,58,8
0.6,0.15,57.59,58,8
0.6,0.2,57.2,57,7
0.6,0.25,56.83,57,7
0.6,0.3,56.49,56,6
0.6,0.35,56.31,56,6
0.6,0.4,56.05,56,6
0.6,0.45,55.71,56,6
0.6,0.5,55.3,55,5
0.6,0.55,55.01,55,5
0.6,0.6,54.84,55,5
0.6,0.65,54.44,54,4
0.6,0.7,54.34,54,4
0.6,0.75,53.98,54,4
0.6,0.8,53.62,54,4
0.6,0.85,53.14,53,3
0.6,0.9,52.93,53,3
0.6,0.95,52.78,53,3
0.65,0.05,58.57,59,9
0.65,0.1,58.27,58,8
0.65,0.15,57.92,58,8
0.65,0.2,57.69,58,8
0.65,0.25,57.3,57,7
0.65,0.3,57.07,57,7
0.65,0.35,56.63,57,7
0.65,0.4,56.37,56,6
0.65,0.45,56.21,56,6
0.65,0.5,55.91,56,6
0.65,0.55,55.51,56,6
0.65,0.6,55.3,55,5
0.65,0.65,55.05,55,5
0.65,0.7,54.57,55,5
0.65,0.75,54.31,54,4
0.65,0.8,54,54,4
0.65,0.85,53.61,54,4
0.65,0.9,53.46,53,3
0.65,0.95,53.13,53,3
0.7,0.05,58.98,59,9
0.7,0.1,58.73,59,9
0.7,0.15,58.46,58,8
0.7,0.2,58.02,58,8
0.7,0.25,57.81,58,8
0.7,0.3,57.54,58,8
0.7,0.35,57.3,57,7
0.7,0.4,56.82,57,7
0.7,0.45,56.67,57,7
0.7,0.5,56.19,56,6
0.7,0.55,55.94,56,6
0.7,0.6,55.6,56,6
0.7,0.65,55.34,55,5
0.7,0.7,55.09,55,5
0.7,0.75,54.72,55,5
0.7,0.8,54.5,54,4
0.7,0.85,54.23,54,4
0.7,0.9,53.88,54,4
0.7,0.95,53.68,54,4
0.75,0.05,59.46,59,9
0.75,0.1,59.21,59,9
0.75,0.15,58.82,59,9
0.75,0.2,58.63,59,9
0.75,0.25,58.29,58,8
0.75,0.3,58.05,58,8
0.75,0.35,57.54,58,8
0.75,0.4,57.32,57,7
0.75,0.45,57.19,57,7
0.75,0.5,56.75,57,7
0.75,0.55,56.53,57,7
0.75,0.6,56.07,56,6
0.75,0.65,55.86,56,6
0.75,0.7,55.57,56,6
0.75,0.75,55.28,55,5
0.75,0.8,54.96,55,5
0.75,0.85,54.66,55,5
0.75,0.9,54.42,54,4
0.75,0.95,54.08,54,4
0.8,0.05,59.89,60,10
0.8,0.1,59.66,60,10
0.8,0.15,59.31,59,9
0.8,0.2,59.03,59,9
0.8,0.25,58.66,59,9
0.8,0.3,58.46,58,8
0.8,0.35,58.04,58,8
0.8,0.4,57.82,58,8
0.8,0.45,57.59,58,8
0.8,0.5,57.25,57,7
0.8,0.55,56.99,57,7
0.8,0.6,56.69,57,7
0.8,0.65,56.44,56,6
0.8,0.7,55.92,56,6
0.8,0.75,55.67,56,6
0.8,0.8,55.46,55,5
0.8,0.85,55.15,55,5
0.8,0.9,54.73,55,5
0.8,0.95,54.47,54,4
0.85,0.05,60.36,60,10
0.85,0.1,60,60,10
0.85,0.15,59.71,60,10
0.85,0.2,59.5,59,9
0.85,0.25,59.15,59,9
0.85,0.3,58.86,59,9
0.85,0.35,58.53,59,9
0.85,0.4,58.28,58,8
0.85,0.45,57.98,58,8
0.85,0.5,57.6,58,8
0.85,0.55,57.4,57,7
0.85,0.6,57.04,57,7
0.85,0.65,56.74,57,7
0.85,0.7,56.52,57,7
0.85,0.75,56.18,56,6
0.85,0.8,55.83,56,6
0.85,0.85,55.59,56,6
0.85,0.9,55.32,55,5
0.85,0.95,54.9,55,5
0.9,0.05,60.81,61,11
0.9,0.1,60.49,60,10
0.9,0.15,60.17,60,10
0.9,0.2,59.88,60,10
0.9,0.25,59.57,60,10
0.9,0.3,59.32,59,9
0.9,0.35,59.05,59,9
0.9,0.4,58.74,59,9
0.9,0.45,58.33,58,8
0.9,0.5,58.07,58,8
0.9,0.55,57.76,58,8
0.9,0.6,57.5,58,8
0.9,0.65,57.23,57,7
0.9,0.7,56.87,57,7
0.9,0.75,56.54,57,7
0.9,0.8,56.25,56,6
0.9,0.85,55.99,56,6
0.9,0.9,55.69,56,6
0.9,0.95,55.42,55,5
0.95,0.05,61.29,61,11
0.95,0.1,60.98,61,11
0.95,0.15,60.65,61,11
0.95,0.2,60.31,60,10
0.95,0.25,60.06,60,10
0.95,0.3,59.79,60,10
0.95,0.35,59.4,59,9
0.95,0.4,59.04,59,9
0.95,0.45,58.78,59,9
0.95,0.5,58.51,59,9
0.95,0.55,58.23,58,8
0.95,0.6,57.94,58,8
0.95,0.65,57.75,58,8
0.95,0.7,57.37,57,7
0.95,0.75,57.05,57,7
0.95,0.8,56.75,57,7
0.95,0.85,56.41,56,6
0.95,0.9,56.16,56,6
0.95,0.95,55.85,56,6
