"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.05,0.05,52.97,53,3
0.05,0.1,52.32,52,2
0.05,0.15,51.74,52,2
0.05,0.2,51.2,51,1
0.05,0.25,50.54,51,1
0.05,0.3,49.96,50,0
0.05,0.35,49.24,49,-1
0.05,0.4,48.74,49,-1
0.05,0.45,48.21,48,-2
0.05,0.5,47.6,48,-2
0.05,0.55,46.91,47,-3
0.05,0.6,46.37,46,-4
0.05,0.65,45.74,46,-4
0.05,0.7,45.14,45,-5
0.05,0.75,44.6,45,-5
0.05,0.8,44.01,44,-6
0.05,0.85,43.33,43,-7
0.05,0.9,42.74,43,-7
0.05,0.95,42.12,42,-8
0.1,0.05,53.45,53,3
0.1,0.1,52.92,53,3
0.1,0.15,52.32,52,2
0.1,0.2,51.66,52,2
0.1,0.25,51.13,51,1
0.1,0.3,50.53,51,1
0.1,0.35,49.88,50,0
0.1,0.4,49.25,49,-1
0.1,0.45,48.79,49,-1
0.1,0.5,48.04,48,-2
0.1,0.55,47.52,48,-2
0.1,0.6,46.87,47,-3
0.1,0.65,46.4,46,-4
0.1,0.7,45.76,46,-4
0.1,0.75,45.06,45,-5
0.1,0.8,44.5,44,-6
0.1,0.85,43.96,44,-6
0.1,0.9,43.3,43,-7
0.1,0.95,42.66,43,-7
0.15,0.05,54.02,54,4
0.15,0.1,53.51,54,4
0.15,0.15,52.92,53,3
0.15,0.2,52.28,52,2
0.15,0.25,51.64,52,2
0.15,0.3,50.95,51,1
0.15,0.35,50.56,51,1
0.15,0.4,49.9,50,0
0.15,0.45,49.29,49,-1
0.15,0.5,48.61,49,-1
0.15,0.55,47.96,48,-2
0.15,0.6,47.49,47,-3
0.15,0.65,46.82,47,-3
0.15,0.7,46.34,46,-4
0.15,0.75,45.66,46,-4
0.15,0.8,45.02,45,-5
0.15,0.85,44.49,44,-6
0.15,0.9,43.77,44,-6
0.15,0.95,43.33,43,-7
0.2,0.05,54.63,55,5
0.2,0.1,53.97,54,4
0.2,0.15,53.43,53,3
0.2,0.2,52.95,53,3
0.2,0.25,52.18,52,2
0.2,0.3,51.48,51,1
0.2,0.35,50.98,51,1
0.2,0.4,50.43,50,0
0.2,0.45,49.81,50,0
0.2,0.5,49.11,49,-1
0.2,0.55,48.66,49,-1
0.2,0.6,48.11,48,-2
0.2,0.65,47.37,47,-3
0.2,0.7,46.9,47,-3
0.2,0.75,46.24,46,-4
0.2,0.8,45.65,46,-4
0.2,0.85,45.04,45,-5
0.2,0.9,44.4,44,-6
0.2,0.95,43.8,44,-6
0.25,0.05,55.19,55,5
0.25,0.1,54.53,55,5
0.25,0.15,53.96,54,4
0.25,0.2,53.38,53,3
0.25,0.25,52.94,53,3
0.25,0.3,52.18,52,2
0.25,0.35,51.51,52,2
0.25,0.4,50.99,51,1
0.25,0.45,50.31,50,0
0.25,0.5,49.68,50,0
0.25,0.55,49.2,49,-1
0.25,0.6,48.48,48,-2
0.25,0.65,47.94,48,-2
0.25,0.7,47.33,47,-3
0.25,0.75,46.65,47,-3
0.25,0.8,46.12,46,-4
0.25,0.85,45.42,45,-5
0.25,0.9,45,45,-5
0.25,0.95,44.35,44,-6
0.3,0.05,55.74,56,6
0.3,0.1,55.18,55,5
0.3,0.15,54.53,55,5
0.3,0.2,53.94,54,4
0.3,0.25,53.33,53,3
0.3,0.3,52.62,53,3
0.3,0.35,52.12,52,2
0.3,0.4,51.54,52,2
0.3,0.45,50.91,51,1
0.3,0.5,50.33,50,0
0.3,0.55,49.64,50,0
0.3,0.6,49.05,49,-1
0.3,0.65,48.45,48,-2
0.3,0.7,47.84,48,-2
0.3,0.75,47.38,47,-3
0.3,0.8,46.65,47,-3
0.3,0.85,46.15,46,-4
0.3,0.9,45.53,46,-4
0.3,0.95,44.78,45,-5
0.35,0.05,56.31,56,6
